,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1392,0.1296,0.083,0.6273,0.5366,0.7553,0.1392,0.8106,0.6301,0.2449,0.0979,0.0232
BR_SVC,0.0954,0.1202,0.0922,0.5195,0.3829,0.8086,0.0954,0.6572,0.4575,0.1302,0.0502,0.0013
BR_DT,0.0412,0.1214,0.1289,0.514,0.5234,0.5053,0.0412,0.8467,0.5644,0.25,0.085,0.0193
BR_GNB,0.0026,0.1222,0.3618,0.3652,0.7984,0.237,0.0026,0.942,0.8183,0.5348,0.2809,0.0953
LP_LR,0.1907,0.1264,0.1064,0.5684,0.5381,0.6025,0.1907,0.7693,0.6057,0.2603,0.1314,0.0335
LP_SVC,0.1804,0.1295,0.1185,0.4872,0.4322,0.5586,0.1804,0.6649,0.4961,0.1714,0.0915,0.0206
LP_DT,0.1057,0.1272,0.1395,0.4566,0.4504,0.4632,0.1057,0.6907,0.4819,0.2023,0.0992,0.0322
LP_GNB,0.1301,0.1274,0.1229,0.4659,0.4118,0.5364,0.1301,0.6623,0.442,0.1662,0.0889,0.0181
CC_LR,0.1662,0.1304,0.0853,0.6251,0.5465,0.7309,0.1662,0.7912,0.6521,0.2513,0.1199,0.0245
CC_SVC,0.1198,0.1257,0.0932,0.5269,0.3988,0.778,0.1198,0.6662,0.4703,0.1366,0.0696,0.0039
CC_DT,0.058,0.1207,0.1328,0.5066,0.523,0.4914,0.058,0.7809,0.5837,0.2706,0.1031,0.0206
CC_GNB,0.0039,0.1222,0.255,0.4011,0.6559,0.2889,0.0039,0.8802,0.7255,0.384,0.1585,0.0502
RakelD_LR,0.1263,0.1324,0.0872,0.6241,0.5571,0.7104,0.1263,0.8286,0.6495,0.2603,0.1121,0.0245
RakelD_SVC,0.1005,0.1241,0.093,0.5365,0.4141,0.7635,0.1005,0.7087,0.4884,0.1418,0.0477,0.0116
RakelD_DT,0.0335,0.1229,0.1323,0.4918,0.4914,0.4922,0.0335,0.7887,0.5451,0.2113,0.0876,0.0206
RakelD_GNB,0.0026,0.1222,0.2685,0.3854,0.6472,0.2747,0.0026,0.8969,0.6856,0.384,0.1624,0.0451
BRkNN,0.1434,0.1251,0.1183,0.5475,0.546,0.549,0.1434,0.7822,0.5772,0.2923,0.1544,0.0395
MLkNN,0.1434,0.1251,0.1183,0.5475,0.546,0.549,0.1434,0.7822,0.5772,0.2923,0.1544,0.0395
MLTSVM,0.0083,0.2096,0.1828,0.3482,0.3724,0.3278,0.0083,0.6774,0.3823,0.1526,0.0413,0.012
