Fold  0
Nombre del experimento: 26L_weighted_1
--Pattern set encontrado en ../patterns\base\0
--Labels set encontrado en ../labels\base\0

Los resultados se guardarán en: ../outputs\alexnet\base\26L_weighted_1\0
Los modelos se guardarán en: ../models\alexnet\base\0
Fold  1
Nombre del experimento: 26L_weighted_1
--Pattern set encontrado en ../patterns\base\1
--Labels set encontrado en ../labels\base\1

Los resultados se guardarán en: ../outputs\alexnet\base\26L_weighted_1\1
Los modelos se guardarán en: ../models\alexnet\base\1
Fold  2
Nombre del experimento: 26L_weighted_1
--Pattern set encontrado en ../patterns\base\2
--Labels set encontrado en ../labels\base\2

Los resultados se guardarán en: ../outputs\alexnet\base\26L_weighted_1\2
Los modelos se guardarán en: ../models\alexnet\base\2
Fold  3
Nombre del experimento: 26L_weighted_1
--Pattern set encontrado en ../patterns\base\3
--Labels set encontrado en ../labels\base\3

Los resultados se guardarán en: ../outputs\alexnet\base\26L_weighted_1\3
Los modelos se guardarán en: ../models\alexnet\base\3
Usando device: NVIDIA GeForce GTX 1060
Usando top_labels previamente generados para 26 labels
Train Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 4.2482, Accuracy: 0.3575, F1 score: 0.2538, HS: 0.1473
Valid Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 4.3150, Accuracy: 0.4694, F1 score: 0.2930, HS: 0.1752

Train Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 3.0458, Accuracy: 0.3636, F1 score: 0.2707, HS: 0.1593
Valid Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 3.7092, Accuracy: 0.2737, F1 score: 0.2489, HS: 0.1429

Train Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 2.6231, Accuracy: 0.2374, F1 score: 0.2488, HS: 0.1432
Valid Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 3.4392, Accuracy: 0.3752, F1 score: 0.2813, HS: 0.1801

Train Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 2.4220, Accuracy: 0.3178, F1 score: 0.2683, HS: 0.1611
Valid Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 2.9687, Accuracy: 0.3609, F1 score: 0.2792, HS: 0.1707

Train Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 2.1291, Accuracy: 0.3607, F1 score: 0.2850, HS: 0.1753
Valid Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 3.1890, Accuracy: 0.5035, F1 score: 0.3164, HS: 0.2009

Train Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 2.0573, Accuracy: 0.4837, F1 score: 0.3244, HS: 0.2040
Valid Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 3.6366, Accuracy: 0.4936, F1 score: 0.3103, HS: 0.2026

