data_flags,f1,recall,precision,acc,hl,emr,hs,mr1,mr2,mr3,mr4,mr5
base,0.3519,0.3412,0.3685,0.0168,0.1641,0.0168,0.2463,0.6263,0.4536,0.0748,0.0,0.0
blur,0.3461,0.2912,0.4291,0.0387,0.1427,0.0387,0.2566,0.5374,0.4278,0.0206,0.0,0.0
elastic1,0.3404,0.2751,0.4472,0.0425,0.1387,0.0425,0.2486,0.5361,0.3853,0.0103,0.0,0.0
crop1,0.3322,0.2763,0.4245,0.0258,0.1435,0.0258,0.2383,0.531,0.3801,0.0245,0.0,0.0
randaug1,0.3328,0.2638,0.4527,0.0335,0.1377,0.0335,0.2398,0.5116,0.3789,0.0026,0.0,0.0
gausblur1,0.3236,0.2595,0.4313,0.04,0.141,0.04,0.2357,0.5039,0.3698,0.0052,0.0,0.0
mtnblur,0.3286,0.2602,0.4484,0.0374,0.1379,0.0374,0.2376,0.4974,0.3737,0.009,0.0013,0.0
rain,0.3236,0.2575,0.4388,0.0335,0.1396,0.0335,0.2338,0.4897,0.3763,0.0052,0.0,0.0
ref,0.3061,0.2342,0.4478,0.0335,0.1378,0.0335,0.2184,0.4639,0.3235,0.0052,0.0,0.0
blur_rain_ref_rot_crop1_randaug1_elastic1,0.2881,0.205,0.5013,0.0374,0.1307,0.0374,0.1981,0.3969,0.2964,0.0,0.0,0.0
blur_rain_ref_rot_crop1_elastic1,0.2563,0.1826,0.4742,0.031,0.1333,0.031,0.1786,0.3815,0.2371,0.0,0.0,0.0
blur_rain_ref_rot_elastic1,0.2528,0.179,0.4618,0.0361,0.1336,0.0361,0.1753,0.3763,0.2281,0.0,0.0,0.0
rain_ref_rot_elastic1,0.2114,0.144,0.4389,0.027,0.1341,0.027,0.1421,0.3016,0.1843,0.0,0.0,0.0
rot,0.2036,0.14,0.3825,0.0284,0.1402,0.0284,0.136,0.2874,0.1817,0.0052,0.0,0.0
rain_ref_rot,0.2015,0.1352,0.3993,0.0296,0.1382,0.0296,0.1377,0.2771,0.1817,0.0,0.0,0.0
ref_rot,0.1868,0.1203,0.4212,0.0219,0.1365,0.0219,0.1234,0.2487,0.1559,0.0026,0.0,0.0
